District,Crop,Season,Soil_pH,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Rainfall,Area_Hectares,Production_Tonnes,Recommended_Fertilizer,Fertilizer_Quantity_per_Hectare,Organic_Input,Organic_Quantity_per_Hectare,Expected_Yield_Increase_Percent
Nashik,Grapes,Kharif,7.05,21,12,24,31.3,86.8,758,749,8986,Ammonium Sulphate,109,Vermicompost,1275,18.4
Kolhapur,Grapes,Rabi,6.98,11,5,31,25.9,88.1,1146,4259,8645,Ferrous Sulphate,147,Cow Dung,1385,7.0
Ahmednagar,Sugarcane,Rabi,7.33,35,23,37,24.9,65.4,1191,320,3790,Ferrous Sulphate,149,FYM,1235,24.9
Pune,Sugarcane,Kharif,6.66,19,27,30,27.6,48.5,728,112,1789,Potash,148,FYM,1133,20.1
Solapur,Sugarcane,Kharif,6.61,21,21,34,31.6,63.3,1017,1057,8584,12-32-16,122,Vermicompost,1551,19.7
Pune,Onion,Rabi,8.1,23,6,18,26.9,38.6,794,2893,816,Magnesium Sulphate,168,Vermicompost,1986,6.3
Solapur,Pomegranate,Summer,7.45,27,23,12,30.6,68.8,434,2322,7383,Ammonium Sulphate,177,Vermicompost,895,13.0
Satara,Soyabean,Summer,7.66,28,20,34,24.8,53.1,556,2032,12916,NPK,189,Cow Dung,1182,6.7
Kolhapur,Sugarcane,Rabi,7.98,15,22,22,22.2,50.5,672,2478,4675,Ferrous Sulphate,137,Cow Dung,1899,12.2
Kolhapur,Grapes,Kharif,7.42,14,6,22,26.9,76.7,795,3774,4672,17-17-17,154,Compost,920,16.4
Kolhapur,Cotton(lint),Kharif,7.74,36,10,18,23.2,63.1,1151,4463,12412,DAP,68,Compost,863,22.6
Ahmednagar,Cotton(lint),Rabi,5.74,25,11,27,28.8,75.4,606,2805,10770,Magnesium Sulphate,129,FYM,1739,10.7
Ahmednagar,Onion,Summer,7.16,23,10,14,24.4,79.5,1156,3784,10656,Magnesium Sulphate,75,Compost,1624,17.5
Nashik,Soyabean,Rabi,6.85,22,10,20,25.7,63.9,1004,1342,737,17-17-17,170,Cow Dung,592,8.3
Sangli,Soyabean,Rabi,8.34,30,13,11,17.0,64.9,1020,4559,8079,Urea,82,Cow Dung,765,12.1
Solapur,Pomegranate,Rabi,7.74,11,12,26,25.5,77.7,705,4370,10697,Ammonium Sulphate,155,Cow Dung,705,23.9
Sangli,Soyabean,Kharif,6.5,11,28,32,25.0,58.5,1025,1227,9591,Muriate of Potash,79,Cow Dung,1603,20.0
Sangli,Grapes,Kharif,7.3,21,26,29,30.7,78.9,935,4766,4048,Potash,175,FYM,536,15.9
Solapur,Grapes,Kharif,7.13,10,25,30,29.5,40.7,861,2670,8981,Ferrous Sulphate,85,FYM,1534,10.0
Nashik,Pomegranate,Summer,7.36,28,13,13,26.1,60.7,651,2586,12731,DAP,174,Cow Dung,1613,12.6
Kolhapur,Onion,Rabi,6.18,37,16,31,19.5,67.2,666,2018,5650,20-20-0,173,Vermicompost,1243,8.1
Sangli,Soyabean,Rabi,7.29,37,22,36,24.2,50.5,608,1245,10898,Potash,167,Compost,518,12.1
Kolhapur,Soyabean,Summer,6.82,36,27,27,30.7,69.4,966,2881,9003,Ferrous Sulphate,172,FYM,873,8.0
Satara,Sugarcane,Kharif,7.23,25,10,33,25.2,67.1,938,557,10902,NPK,86,Vermicompost,593,20.9
Sangli,Soyabean,Rabi,6.42,39,27,29,21.7,56.2,902,454,8730,Single Super Phosphate,110,Compost,531,6.6
Satara,Grapes,Summer,6.53,16,8,17,30.6,55.8,913,1344,11825,28-28-0,145,Vermicompost,639,8.8
Nashik,Sugarcane,Kharif,7.94,36,29,28,19.5,54.5,979,3675,12170,Zinc Sulphate,169,Cow Dung,1472,18.8
Pune,Sugarcane,Kharif,6.16,30,11,21,25.5,46.2,547,2869,3441,14-35-14,61,Compost,1544,23.1
Ahmednagar,Soyabean,Rabi,6.22,16,22,37,28.2,84.3,1041,4809,5650,Calcium Nitrate,171,Vermicompost,1672,24.3
Solapur,Cotton(lint),Kharif,6.96,25,24,20,26.5,62.5,482,3687,11384,Muriate of Potash,84,FYM,1744,21.7
Nashik,Wheat,Summer,6.38,34,9,25,21.0,48.8,441,1923,4338,12-32-16,116,FYM,1232,9.2
Nashik,Grapes,Kharif,6.29,15,22,14,22.3,63.5,555,1456,1883,Single Super Phosphate,87,FYM,1253,10.7
Nashik,Cotton(lint),Rabi,7.08,27,14,37,23.2,67.9,1068,3633,9159,Single Super Phosphate,73,Compost,1742,22.4
Sangli,Soyabean,Summer,5.8,10,12,12,29.1,55.2,852,1627,14788,Single Super Phosphate,130,Cow Dung,557,22.8
Satara,Soyabean,Kharif,6.19,10,5,21,26.7,60.6,1018,4426,1588,DAP,121,Cow Dung,1948,17.8
Ahmednagar,Cotton(lint),Kharif,8.64,35,19,24,24.4,80.6,683,3477,7260,Ammonium Sulphate,128,Compost,1798,11.3
Sangli,Soyabean,Kharif,7.37,34,7,25,27.6,51.0,587,686,567,NPK,163,Compost,639,9.5
Pune,Grapes,Summer,6.4,23,19,22,23.0,58.0,1016,857,5683,Urea,94,Cow Dung,1546,22.0
Solapur,Pomegranate,Kharif,7.33,15,18,16,29.0,40.9,1023,2445,13264,28-28-0,174,FYM,1400,9.1
Solapur,Sugarcane,Rabi,7.45,15,5,24,27.8,86.9,873,4574,12213,Zinc Sulphate,145,Cow Dung,877,18.2
Ahmednagar,Onion,Summer,7.8,13,25,12,25.1,72.9,906,1465,1517,Magnesium Sulphate,62,Cow Dung,1421,24.4
Solapur,Soyabean,Summer,6.9,21,12,21,25.4,64.4,532,2499,13306,DAP,159,Vermicompost,872,19.1
Solapur,Soyabean,Kharif,7.78,39,11,17,24.6,56.4,670,4810,6005,20-20-0,55,FYM,1586,10.2
Nashik,Cotton(lint),Summer,5.37,27,13,34,30.0,55.8,1021,4895,1876,14-35-14,146,Compost,1277,10.7
Kolhapur,Sugarcane,Rabi,6.15,19,22,38,26.9,61.8,472,3546,1181,Muriate of Potash,120,Cow Dung,1865,6.9
Pune,Cotton(lint),Summer,7.13,12,16,21,25.1,71.0,835,3638,13537,Calcium Nitrate,96,FYM,666,18.7
Satara,Pomegranate,Rabi,7.26,12,12,27,22.1,52.2,692,4079,13228,Zinc Sulphate,142,Compost,1674,15.4
Pune,Grapes,Kharif,6.27,17,12,12,28.4,59.4,1054,4782,3025,Potash,150,Vermicompost,1022,9.1
Sangli,Cotton(lint),Summer,7.21,31,10,21,28.2,75.3,1171,564,4184,Magnesium Sulphate,93,Vermicompost,1083,9.6
Solapur,Soyabean,Rabi,6.5,32,7,38,23.9,84.3,1156,3344,12353,Potash,81,FYM,1000,5.2
Kolhapur,Sugarcane,Kharif,6.78,34,6,32,24.3,71.5,836,2958,7728,DAP,52,Cow Dung,1395,24.6
Sangli,Grapes,Rabi,7.82,10,18,30,25.5,57.1,1066,2548,6295,12-32-16,133,Compost,1498,21.6
Ahmednagar,Soyabean,Summer,7.73,27,12,35,21.4,63.1,1060,1416,1111,Zinc Sulphate,53,FYM,1059,12.9
Nashik,Grapes,Summer,6.2,24,10,32,26.3,69.9,459,390,8002,DAP,194,Vermicompost,1871,23.9
Solapur,Soyabean,Rabi,6.15,34,8,11,19.4,61.5,997,4022,913,Muriate of Potash,137,Compost,1795,18.5
Nashik,Soyabean,Kharif,6.67,30,9,23,20.9,73.5,1103,1610,12238,Ammonium Sulphate,155,Compost,1953,20.0
Pune,Soyabean,Kharif,6.98,29,25,23,24.0,56.2,726,2518,10608,12-32-16,154,Cow Dung,1511,18.6
Nashik,Onion,Kharif,6.47,26,17,13,23.5,84.4,581,2478,10435,10-26-26,85,Vermicompost,732,20.1
Nashik,Wheat,Kharif,7.83,34,13,26,27.8,63.9,1198,3738,372,Muriate of Potash,107,Vermicompost,1059,8.4
Ahmednagar,Sugarcane,Rabi,7.28,20,17,24,27.1,57.4,1184,2745,3744,Ferrous Sulphate,57,Vermicompost,1731,16.2
Satara,Pomegranate,Summer,7.32,22,13,25,31.5,72.1,1166,2077,1816,DAP,135,Compost,1976,22.0
Satara,Onion,Rabi,5.99,34,28,14,26.4,53.3,833,3802,6376,17-17-17,146,Vermicompost,1420,5.4
Sangli,Wheat,Summer,7.93,29,28,33,26.8,66.8,918,365,11267,Urea,108,FYM,1360,7.5
Solapur,Grapes,Summer,4.74,34,20,26,21.3,81.8,1037,4039,6332,10-26-26,79,Vermicompost,1742,9.9
Sangli,Wheat,Rabi,7.67,19,16,32,21.4,50.4,482,1151,6928,Urea,150,Compost,1371,10.9
Satara,Wheat,Rabi,7.75,22,6,16,26.3,79.3,427,580,12392,Urea,116,Vermicompost,580,8.7
Pune,Onion,Kharif,6.65,26,23,32,26.3,49.5,665,2452,456,10-26-26,181,Vermicompost,1113,17.5
Satara,Sugarcane,Summer,8.02,30,20,24,27.2,74.8,682,1909,13754,Calcium Nitrate,142,Compost,1202,10.9
Sangli,Cotton(lint),Kharif,6.95,10,28,26,31.1,53.6,796,4807,303,20-20-0,112,Vermicompost,1040,8.2
Kolhapur,Wheat,Kharif,7.05,29,17,21,21.5,79.3,1162,1269,3845,Single Super Phosphate,81,Cow Dung,1264,23.1
Solapur,Cotton(lint),Rabi,7.27,25,9,20,32.8,58.1,1099,4272,1696,Ferrous Sulphate,136,Compost,1774,18.9
Nashik,Cotton(lint),Kharif,9.55,25,27,28,20.0,60.7,782,4494,6714,Muriate of Potash,100,Vermicompost,1237,9.9
Ahmednagar,Soyabean,Kharif,8.08,37,28,20,27.5,53.7,980,1816,14899,Single Super Phosphate,112,Cow Dung,1105,12.2
Kolhapur,Cotton(lint),Kharif,7.56,30,10,11,21.0,36.1,718,1117,596,DAP,129,FYM,1938,19.8
Kolhapur,Grapes,Rabi,6.27,39,25,24,28.9,51.3,1010,777,13089,28-28-0,136,Compost,1609,20.8
Nashik,Grapes,Kharif,7.11,36,28,14,20.1,44.8,592,293,13224,Ammonium Sulphate,159,Vermicompost,1121,8.5
Satara,Soyabean,Kharif,6.35,12,21,27,15.1,40.5,626,1835,162,Potash,150,Compost,1740,23.7
Solapur,Sugarcane,Rabi,7.66,11,21,38,26.6,68.5,850,761,1679,20-20-0,178,Cow Dung,1521,20.7
Pune,Pomegranate,Rabi,7.11,15,21,39,25.5,83.3,581,2943,12626,20-20-0,68,Compost,695,22.1
Kolhapur,Sugarcane,Rabi,6.1,20,7,30,30.4,86.6,726,3200,8831,NPK,150,FYM,1494,7.9
Pune,Grapes,Summer,7.06,38,17,30,26.3,51.0,1004,4231,4393,Muriate of Potash,143,Vermicompost,1820,7.9
Ahmednagar,Pomegranate,Rabi,6.32,12,16,25,23.0,63.7,1054,1558,4976,17-17-17,130,FYM,1445,11.1
Ahmednagar,Soyabean,Summer,7.12,35,10,13,23.8,79.0,602,320,7950,20-20-0,152,Cow Dung,543,6.3
Ahmednagar,Sugarcane,Rabi,6.31,10,26,36,38.9,49.3,801,1847,4225,28-28-0,162,Compost,892,6.8
Sangli,Pomegranate,Rabi,7.02,20,25,32,22.5,79.4,1043,2610,2813,20-20-0,62,Vermicompost,1966,7.9
Kolhapur,Pomegranate,Rabi,7.6,22,17,19,28.1,79.6,871,3610,5428,Muriate of Potash,167,Vermicompost,1613,19.2
Ahmednagar,Wheat,Summer,6.96,14,18,31,27.6,41.6,1178,4053,13474,14-35-14,135,Cow Dung,654,5.6
Sangli,Sugarcane,Kharif,6.69,27,11,11,28.2,36.7,1045,2227,9372,Ammonium Sulphate,72,Cow Dung,1477,6.7
Ahmednagar,Soyabean,Rabi,7.16,24,9,24,27.9,60.2,578,887,10147,28-28-0,156,Compost,558,23.9
Satara,Pomegranate,Summer,7.56,27,18,13,24.9,76.3,1097,2867,7987,Ferrous Sulphate,61,Vermicompost,609,6.7
Kolhapur,Grapes,Rabi,6.11,24,22,38,19.0,46.8,417,3764,11796,Single Super Phosphate,186,Cow Dung,978,15.7
Sangli,Wheat,Kharif,7.21,29,8,25,26.6,40.5,862,3128,3479,Ferrous Sulphate,127,Vermicompost,1117,17.9
Ahmednagar,Cotton(lint),Summer,8.05,29,5,39,25.9,65.8,1008,2949,1698,Ammonium Sulphate,116,Compost,1283,24.2
Solapur,Cotton(lint),Rabi,7.46,29,11,36,26.5,72.6,945,1826,7733,Single Super Phosphate,157,FYM,1572,23.0
Sangli,Cotton(lint),Rabi,7.05,16,24,16,28.3,56.8,802,1700,9920,12-32-16,93,Cow Dung,1900,13.8
Ahmednagar,Grapes,Rabi,7.51,26,17,34,24.3,57.8,792,2998,3278,14-35-14,198,Compost,1555,23.8
Satara,Pomegranate,Kharif,7.36,38,8,34,23.5,72.5,699,2570,8144,10-26-26,56,FYM,1100,13.6
Pune,Soyabean,Summer,7.6,17,17,21,29.6,54.6,750,2435,10939,14-35-14,177,Compost,1439,18.4
Ahmednagar,Cotton(lint),Rabi,5.38,37,8,12,24.7,55.5,586,4464,5213,Ferrous Sulphate,146,Cow Dung,1491,10.2
Pune,Sugarcane,Rabi,5.76,22,7,26,24.0,68.3,746,2818,3472,DAP,60,Compost,1030,17.7
Kolhapur,Cotton(lint),Summer,7.8,35,12,18,23.7,69.7,1022,4288,6863,Ferrous Sulphate,155,Vermicompost,1526,15.8
Satara,Pomegranate,Kharif,5.8,25,24,17,28.4,62.3,808,2754,1169,Muriate of Potash,132,Cow Dung,877,17.1
Solapur,Onion,Kharif,7.32,34,12,32,25.2,82.8,1158,1222,14512,Ammonium Sulphate,85,Vermicompost,1071,18.7
Kolhapur,Grapes,Kharif,6.72,19,29,15,34.9,74.0,470,2568,2876,12-32-16,167,Compost,1765,8.5
Solapur,Onion,Kharif,6.2,38,21,39,26.2,60.8,726,412,1292,Magnesium Sulphate,90,Cow Dung,1086,11.0
Pune,Cotton(lint),Kharif,7.28,23,19,24,21.2,49.5,611,699,913,Magnesium Sulphate,141,Vermicompost,856,19.7
Satara,Pomegranate,Rabi,7.16,15,8,19,24.3,76.9,708,2306,1252,DAP,98,Vermicompost,1184,8.3
Nashik,Cotton(lint),Rabi,8.69,29,10,32,28.6,77.3,507,3186,5932,NPK,192,Vermicompost,1720,11.9
Satara,Onion,Rabi,6.5,31,28,36,23.6,63.8,576,4694,11047,12-32-16,190,FYM,1357,18.3
Satara,Pomegranate,Summer,8.15,35,26,34,25.9,68.3,826,1185,1983,Potash,102,Vermicompost,1942,23.8
Solapur,Grapes,Kharif,7.28,16,10,15,29.9,73.4,1139,4408,367,Urea,156,Vermicompost,1158,6.5
Nashik,Grapes,Summer,6.47,15,14,24,30.5,84.2,930,3197,3771,Potash,82,Compost,1796,15.3
Sangli,Cotton(lint),Kharif,7.64,36,8,39,23.9,75.6,817,4911,2912,Ferrous Sulphate,168,Compost,534,6.6
Sangli,Grapes,Kharif,7.45,26,13,23,25.0,70.3,647,925,14161,NPK,81,Compost,1506,12.6
Sangli,Wheat,Summer,7.03,30,20,35,26.4,76.2,608,3792,12972,NPK,167,Compost,960,8.5
Pune,Pomegranate,Rabi,7.21,33,11,28,31.4,78.8,615,3901,6662,Urea,111,FYM,1217,18.0
Satara,Pomegranate,Summer,6.52,17,18,22,21.6,68.2,1112,1202,7113,10-26-26,131,Compost,1776,20.2
Ahmednagar,Grapes,Rabi,6.34,21,10,23,27.4,76.0,837,1972,14278,Single Super Phosphate,179,Compost,1011,9.9
Nashik,Pomegranate,Kharif,7.61,35,5,12,26.2,56.9,1168,678,13572,Ammonium Sulphate,126,Compost,1571,19.3
Ahmednagar,Onion,Rabi,6.82,34,22,13,22.4,77.4,1017,3069,5277,Magnesium Sulphate,65,Vermicompost,1708,13.9
Pune,Soyabean,Kharif,6.94,13,16,35,30.9,57.0,710,1774,4185,20-20-0,172,FYM,990,10.7
Nashik,Onion,Kharif,7.22,19,26,38,30.0,52.9,1182,4798,483,Potash,57,Compost,772,15.5
Ahmednagar,Sugarcane,Rabi,7.21,15,19,23,32.2,63.5,782,1178,12248,Ferrous Sulphate,196,Vermicompost,1512,12.6
Solapur,Wheat,Kharif,5.86,16,5,23,30.7,48.9,670,4611,2950,Magnesium Sulphate,116,Cow Dung,1026,9.6
Pune,Soyabean,Rabi,8.03,30,19,35,26.0,57.8,520,813,14945,Zinc Sulphate,164,FYM,1651,20.1
Pune,Cotton(lint),Summer,7.1,36,19,17,28.5,69.5,806,1069,12817,12-32-16,162,Compost,709,21.0
Pune,Pomegranate,Kharif,6.84,17,20,19,27.3,68.3,644,4023,11703,12-32-16,81,Vermicompost,1123,21.0
Nashik,Sugarcane,Kharif,7.34,12,25,18,22.4,72.7,465,3977,6821,DAP,154,Cow Dung,1665,12.6
Ahmednagar,Sugarcane,Summer,7.19,17,5,23,20.8,72.9,627,2891,7183,20-20-0,74,Cow Dung,672,8.4
Ahmednagar,Wheat,Kharif,7.61,24,7,17,27.5,69.5,536,2997,1149,Muriate of Potash,102,Vermicompost,946,21.8
Kolhapur,Soyabean,Summer,7.43,39,16,20,26.4,54.8,593,724,1933,Muriate of Potash,130,Vermicompost,1642,11.6
Pune,Sugarcane,Summer,7.57,30,11,19,24.7,76.1,1105,1058,9089,Single Super Phosphate,74,FYM,510,20.0
Sangli,Soyabean,Kharif,8.08,10,9,27,25.6,63.7,1057,1276,4567,DAP,82,Vermicompost,1260,21.3
Satara,Soyabean,Summer,7.71,22,5,13,33.1,67.9,1056,1685,3075,Single Super Phosphate,80,Compost,1827,20.4
Solapur,Grapes,Summer,6.87,31,5,13,17.3,66.2,888,4426,5255,Calcium Nitrate,85,Cow Dung,1677,12.8
Solapur,Sugarcane,Summer,6.1,27,19,21,28.6,83.9,983,373,7798,20-20-0,136,Compost,822,23.8
Kolhapur,Soyabean,Kharif,8.33,24,12,27,29.4,50.7,753,2888,14201,10-26-26,172,Compost,1476,18.2
Kolhapur,Wheat,Summer,6.81,16,15,38,29.9,60.9,1103,3860,8100,20-20-0,93,Compost,944,16.5
Nashik,Sugarcane,Rabi,6.62,24,18,17,20.5,71.4,955,1735,14236,28-28-0,97,Cow Dung,841,19.0
Kolhapur,Wheat,Rabi,5.61,34,29,12,24.8,65.3,556,3762,1390,NPK,62,Cow Dung,720,5.9
Ahmednagar,Wheat,Summer,7.27,12,27,27,24.6,59.2,875,591,8061,17-17-17,193,Cow Dung,609,12.8
Nashik,Soyabean,Rabi,7.12,39,17,16,27.2,42.0,415,2994,7699,Ammonium Sulphate,140,Vermicompost,909,22.6
Nashik,Soyabean,Kharif,5.79,35,23,10,21.5,61.6,477,1377,7286,Ferrous Sulphate,180,Compost,1941,8.2
Solapur,Grapes,Summer,7.36,23,16,31,27.5,69.3,451,688,7606,12-32-16,192,FYM,1004,13.3
Solapur,Pomegranate,Kharif,6.6,29,26,22,22.5,71.5,913,4581,2287,28-28-0,115,Vermicompost,539,13.1
Sangli,Grapes,Rabi,9.15,13,23,38,24.8,63.0,903,2310,8358,17-17-17,77,Vermicompost,1982,12.1
Pune,Sugarcane,Rabi,6.54,13,8,12,31.4,67.1,1143,1479,13402,10-26-26,174,FYM,762,16.2
Kolhapur,Grapes,Rabi,6.65,12,8,38,29.4,51.3,460,2915,13941,20-20-0,129,Compost,1641,24.9
Pune,Cotton(lint),Rabi,6.3,14,7,12,26.5,69.7,531,1011,9684,Muriate of Potash,181,FYM,1973,10.1
Pune,Sugarcane,Kharif,8.02,34,10,24,20.4,65.1,781,3012,14696,Ammonium Sulphate,121,Cow Dung,1937,19.1
Pune,Wheat,Summer,6.7,20,9,30,27.3,67.0,963,2518,7891,Ferrous Sulphate,93,Compost,1207,20.2
Nashik,Grapes,Kharif,6.42,17,15,39,27.6,62.4,1091,3278,12283,14-35-14,168,Vermicompost,1322,16.7
Pune,Grapes,Summer,7.57,35,29,28,17.6,67.6,942,178,11313,Zinc Sulphate,95,Cow Dung,960,6.9
Kolhapur,Pomegranate,Rabi,5.9,11,13,37,27.4,72.6,809,4449,6870,14-35-14,133,Cow Dung,1641,16.4
Nashik,Grapes,Rabi,7.5,37,7,13,21.7,68.1,554,4016,9993,Potash,75,Vermicompost,716,24.1
Kolhapur,Soyabean,Rabi,8.43,25,13,22,20.1,43.1,1032,966,8870,Ammonium Sulphate,145,FYM,576,11.8
Nashik,Wheat,Rabi,7.45,34,16,22,21.5,68.3,450,1300,8034,Calcium Nitrate,62,Cow Dung,1944,17.8
Satara,Grapes,Kharif,7.51,37,7,24,17.4,60.3,494,2248,1705,Muriate of Potash,174,Cow Dung,1391,24.2
Satara,Onion,Summer,7.7,19,24,28,24.4,56.5,1087,4738,12335,DAP,118,Compost,1695,21.0
Satara,Onion,Summer,8.37,27,21,25,22.0,81.2,922,4123,8087,Muriate of Potash,100,Compost,889,18.8
Satara,Wheat,Rabi,7.97,16,25,16,30.6,53.8,923,3837,7265,17-17-17,62,Vermicompost,1549,24.4
Nashik,Grapes,Kharif,7.35,14,16,12,24.6,55.2,754,989,13614,Magnesium Sulphate,188,Vermicompost,1651,8.4
Pune,Pomegranate,Rabi,7.72,38,29,39,23.1,38.1,444,2328,6154,Ammonium Sulphate,109,Vermicompost,873,20.5
Sangli,Cotton(lint),Summer,6.29,16,22,35,19.6,82.3,604,1051,10270,Single Super Phosphate,81,FYM,1153,13.1
Solapur,Pomegranate,Summer,7.62,30,8,29,24.3,75.7,1130,3822,4605,Muriate of Potash,67,Cow Dung,1403,12.2
Ahmednagar,Cotton(lint),Kharif,6.2,37,14,11,31.4,61.0,830,2262,11172,Magnesium Sulphate,142,Vermicompost,1547,15.4
Sangli,Sugarcane,Summer,6.71,15,22,27,32.2,72.4,655,1660,7347,Urea,197,Compost,1993,5.7
Satara,Sugarcane,Kharif,4.53,33,12,34,24.5,38.3,647,1677,5907,NPK,93,Cow Dung,1243,11.3
Pune,Pomegranate,Rabi,7.32,10,13,20,25.7,70.7,932,3187,6356,Magnesium Sulphate,86,Vermicompost,922,8.3
Kolhapur,Grapes,Rabi,6.48,38,23,10,28.8,54.7,440,4041,10962,Ferrous Sulphate,176,Cow Dung,1700,7.8
Pune,Pomegranate,Kharif,7.89,20,17,25,21.9,85.1,858,1153,12008,Single Super Phosphate,68,Cow Dung,1352,11.7
Kolhapur,Sugarcane,Rabi,7.31,22,29,26,27.5,69.4,1189,2237,8151,Zinc Sulphate,81,Cow Dung,1330,21.0
Sangli,Soyabean,Kharif,7.9,21,10,25,35.5,66.6,676,4275,13227,14-35-14,155,Vermicompost,1789,9.0
Pune,Cotton(lint),Rabi,6.13,10,26,19,29.1,55.2,594,3082,4384,28-28-0,71,Cow Dung,1472,15.6
Pune,Wheat,Rabi,7.83,30,11,26,28.9,55.2,470,2863,12664,20-20-0,171,Cow Dung,1128,20.0
Ahmednagar,Pomegranate,Summer,8.68,24,25,39,31.4,72.1,669,2543,14148,Magnesium Sulphate,178,Cow Dung,1069,9.8
Sangli,Grapes,Summer,7.61,10,10,12,29.6,55.0,734,3953,14538,Muriate of Potash,103,Compost,1793,23.5
Pune,Grapes,Kharif,7.63,12,15,27,25.0,54.6,984,78,2254,Single Super Phosphate,197,Vermicompost,1852,22.3
Kolhapur,Onion,Rabi,7.14,35,21,28,21.3,81.9,707,4109,7842,Single Super Phosphate,107,FYM,1978,10.0
Solapur,Cotton(lint),Rabi,6.58,24,23,23,25.5,68.5,826,1310,14327,DAP,119,Compost,1818,24.8
Pune,Cotton(lint),Rabi,7.61,18,29,30,22.1,51.8,598,3720,14365,Muriate of Potash,112,Cow Dung,621,18.4
Kolhapur,Cotton(lint),Summer,5.8,23,16,34,24.9,71.6,475,4944,2904,14-35-14,52,Cow Dung,658,10.7
Satara,Pomegranate,Kharif,6.67,38,25,11,22.5,61.7,1186,3560,2320,Muriate of Potash,148,FYM,1701,18.6
Pune,Sugarcane,Kharif,5.58,32,25,21,24.4,43.8,1194,2386,12281,DAP,94,FYM,1851,18.3
Kolhapur,Soyabean,Kharif,6.44,37,28,20,20.1,59.0,1057,3373,9290,NPK,192,Compost,806,17.1
Solapur,Pomegranate,Rabi,7.51,31,17,39,23.2,52.4,924,149,821,Urea,66,Cow Dung,1612,19.2
Sangli,Wheat,Kharif,7.4,33,22,26,27.6,68.1,1040,3706,9506,Muriate of Potash,192,FYM,1250,10.4
Satara,Sugarcane,Summer,7.04,17,11,36,28.6,57.1,629,4567,9985,DAP,54,Compost,1561,24.6
Pune,Pomegranate,Summer,7.14,31,29,15,27.8,66.1,484,743,7074,Ferrous Sulphate,60,FYM,1090,22.2
Ahmednagar,Soyabean,Kharif,5.49,13,27,28,24.5,73.0,561,4851,14660,Magnesium Sulphate,141,Cow Dung,845,19.9
Kolhapur,Cotton(lint),Rabi,6.7,29,9,22,26.5,93.3,796,67,5903,Potash,191,Cow Dung,1775,5.5
Solapur,Soyabean,Summer,6.45,29,20,16,33.8,88.8,770,3759,3494,Ferrous Sulphate,88,Cow Dung,648,16.8
Ahmednagar,Sugarcane,Summer,6.47,15,26,31,23.1,67.7,962,2820,4125,20-20-0,91,Cow Dung,1539,19.1
Pune,Pomegranate,Rabi,7.48,10,8,20,32.4,64.4,614,1080,11871,Zinc Sulphate,143,Vermicompost,1890,22.1
Kolhapur,Cotton(lint),Rabi,6.31,37,27,16,20.2,57.9,400,4525,8228,20-20-0,54,Vermicompost,1334,23.9
Pune,Pomegranate,Kharif,6.52,27,5,22,19.2,45.3,776,4259,14569,17-17-17,101,Vermicompost,1280,23.3
Satara,Sugarcane,Summer,5.33,15,8,22,25.4,37.6,811,1669,5256,Potash,199,Compost,617,13.1
Solapur,Wheat,Summer,6.76,39,7,30,25.9,54.9,1034,900,14528,28-28-0,93,Compost,1203,22.9
Solapur,Cotton(lint),Kharif,6.13,23,8,10,21.5,84.6,1199,1946,14510,NPK,164,FYM,816,5.0
Satara,Soyabean,Kharif,7.06,20,5,39,24.7,84.2,599,1025,11095,NPK,176,FYM,787,12.0
Pune,Sugarcane,Summer,6.24,26,16,28,27.6,65.9,582,2566,10522,Calcium Nitrate,165,Compost,1407,7.3
Pune,Onion,Summer,7.08,18,17,28,22.1,70.6,809,4238,4912,12-32-16,198,FYM,1874,22.7
Nashik,Soyabean,Rabi,6.88,37,6,32,30.1,57.7,797,1565,8750,Ferrous Sulphate,117,Compost,796,23.6
Pune,Soyabean,Rabi,8.34,31,13,24,30.5,64.6,615,1175,9993,NPK,96,Vermicompost,1717,10.1
Solapur,Cotton(lint),Summer,7.4,16,11,23,31.0,55.7,1151,542,8918,17-17-17,176,Compost,1915,12.3
Pune,Pomegranate,Summer,5.53,23,17,38,22.4,55.7,748,3086,2556,28-28-0,84,Compost,942,24.7
Ahmednagar,Grapes,Rabi,5.99,37,26,12,22.9,72.4,979,2576,306,NPK,56,FYM,1804,16.3
Ahmednagar,Soyabean,Kharif,7.04,26,6,36,25.3,57.7,993,216,11608,14-35-14,165,FYM,1400,14.9
Satara,Sugarcane,Kharif,6.26,17,5,30,24.9,70.9,1053,4285,1456,NPK,101,Compost,800,15.0
Ahmednagar,Onion,Summer,4.63,37,22,29,24.7,63.2,440,4239,13060,NPK,159,Cow Dung,1397,18.9
Pune,Wheat,Summer,8.08,25,11,13,29.0,82.0,1150,625,11888,28-28-0,95,FYM,925,24.1
Sangli,Onion,Rabi,7.58,21,22,38,28.4,71.6,402,655,7561,10-26-26,186,Compost,749,12.3
Pune,Sugarcane,Summer,7.42,21,23,16,22.5,67.9,493,3393,7256,10-26-26,72,FYM,1185,8.5
Solapur,Cotton(lint),Kharif,6.51,37,12,10,21.4,47.8,458,1868,14365,12-32-16,180,Cow Dung,1251,8.7
Nashik,Sugarcane,Rabi,7.34,37,27,32,21.0,59.1,1139,1205,8251,Urea,176,FYM,1497,5.4
Kolhapur,Grapes,Rabi,6.44,14,16,33,22.5,64.4,806,4729,10231,NPK,58,Compost,905,16.1
